author,measure,run,pos,word_list
Lermontov,Guiraud,1,ADJ,женатый меньшой ядовитый сырой женский недовольный пасмурный бойкий болезненный кровожадный
Lermontov,Guiraud,1,NOUN,раскаяние браслет тамара сожаление терек черкес табун название маска караван
Lermontov,Guiraud,1,VERB,обижать селить послушать кидать вернуться белеть проклинать воображать охлаждать поверить
Lermontov,Guiraud,2,ADJ,сырой женатый смуглый виновный шелковый похожий розовый дубовый несчастливый брачный
Lermontov,Guiraud,2,NOUN,измаил черкес браслет опричник терек бурка улан рая степан трус
Lermontov,Guiraud,2,VERB,махнуть вскакивать гнуться разбирать увидать селить драться отворять услыхать достигать
Lermontov,Guiraud,3,ADJ,уверенный ледяной косматый маленький ребяческий дурной мелочный мостовой непреклонный справедливый
Lermontov,Guiraud,3,NOUN,название кирибеевич орша вспоминание зораим тучка парамонович черкес билось купец
Lermontov,Guiraud,3,VERB,проигрывать пощадить сжалиться услыхать обманывать обещать селить шутить дождаться махать
Lermontov,Guiraud,4,ADJ,ребяческий виновный недовольный боярский истинный недобрый похожий насмешливый смертельный мучительный
Lermontov,Guiraud,4,NOUN,саша кирибеевич глупец название морщина скелет кинжал корень сашка черкес
Lermontov,Guiraud,4,VERB,обвинять гнуться объяснять сделать проигрывать кинуть трещать ценить выигрывать лгать
Lermontov,Guiraud,5,ADJ,занятый бесчувственный пасмурный косматый недовольный сырой боярский крайний худой умный
Lermontov,Guiraud,5,NOUN,черкес сакля зара измаил седло караван название росламбек тамара женщина
Lermontov,Guiraud,5,VERB,увидать стараться взмахивать грызть возненавидеть надеяться отвыкать превозмогать шептаться чернеть
Lermontov,Guiraud,6,ADJ,виноватый бешеный женатый занятый окровавленный странный серебряный желтый мягкий случайный
Lermontov,Guiraud,6,NOUN,измаил сакля черкес аул зара кирибеевич женщина ребята сашка корень
Lermontov,Guiraud,6,VERB,увидать различать вынимать селить знавать крутиться оборвать отвыкать объяснять жалеть
Lermontov,Guiraud,7,ADJ,занятый брачный ледяной однообразный студеный непонятный грязный модный осторожный женский
Lermontov,Guiraud,7,NOUN,измаил зара сакля черкес письмо речка пленник женщина казбек пень
Lermontov,Guiraud,7,VERB,селить дорожить вздрагивать баять пожалеть следовать стыдиться качать получать вскакивать
Lermontov,Guiraud,8,ADJ,виноватый сырой незнакомый одаренный походный цветной умный плохой каменный южный
Lermontov,Guiraud,8,NOUN,женщина браслет кавказ маскерад гарун тамара бал дурак название приличие
Lermontov,Guiraud,8,VERB,увидать проигрывать поговорить трещать поступать пожалеть жалеть открываться ошибаться звенеть
Lermontov,Guiraud,9,ADJ,странный краткий пугливый случайный давнишний измятый пасмурный виноватый детский небрежный
Lermontov,Guiraud,9,NOUN,измаил черкес аул саша браслет выстрел арсений казак маскерад морщина
Lermontov,Guiraud,9,VERB,увидать ошибаться осмеивать пощадить висеть решаться изменяться различать обманывать взмахивать
Lermontov,Guiraud,10,ADJ,серый смуглый зубчатый серебряный дряхлый согбенный ребяческий южный шелковый косматый
Lermontov,Guiraud,10,NOUN,измаил черкес зара табун казбек леда название аул казначей пистолет
Lermontov,Guiraud,10,VERB,умчаться обвинять сглаживать ценить отвыкать пожалеть приучать блуждать селить осмеивать
Lermontov,Guiraud,11,ADJ,женский странный южный измятый мучительный одаренный гладкий светский худой безобразный
Lermontov,Guiraud,11,NOUN,сакля черкес улан саша измаил арсений браслет выстрел табун женщина
Lermontov,Guiraud,11,VERB,вскакивать селить очнуться кидать махнуть сглаживать следовать завидовать ведать вернуться
Lermontov,Guiraud,12,ADJ,ледяной занятый походный скорый модный южный бесчувственный взаимный презрительный уверенный
Lermontov,Guiraud,12,NOUN,женщина браслет маскерад название орша черкес леда сакля тягость акбулат
Lermontov,Guiraud,12,VERB,увидать вырываться унижать рисоваться стараться услыхать висеть ошибаться жениться изнемогать
Lermontov,Guiraud,13,ADJ,сырой шелковый недовольный снеговой странный жесткий занятый виноватый степной небрежный
Lermontov,Guiraud,13,NOUN,черкес измаил саша арбенин маскерад зара леда улан чорт боец
Lermontov,Guiraud,13,VERB,кинуть следовать услыхать ошибаться послушать гудать опускаться разбирать утаивать висеть
Lermontov,Guiraud,14,ADJ,краткий гладкий модный мутный восточный дымный крайний погибший снеговой скучный
Lermontov,Guiraud,14,NOUN,маскерад бал браслет наказание арсений мнение сакля тамара сожаление женщина
