author,measure,run,pos,word_list
Lermontov,Guiraud,1,ADJ,должный большой сырой лукавый бешеный лихой лишенный злой старый грешный
Lermontov,Guiraud,1,NOUN,пещера конь путник русский кинжал старик досада курган князь камень
Lermontov,Guiraud,1,VERB,мочь знать быть желать делать сделать помогать рассказывать оставлять любить
Lermontov,Guiraud,2,ADJ,сырой должный виноватый старый большой женский недвижимый подобный странный чужой
Lermontov,Guiraud,2,NOUN,саша путник досада конь дама русский князь демон насмешка пещера
Lermontov,Guiraud,2,VERB,мочь желать иметь быть спрашивать знать оставлять привлекать ценить носить
Lermontov,Guiraud,3,ADJ,большой должный женский сырой косматый подобный молодой старый ложный похожий
Lermontov,Guiraud,3,NOUN,князь саша боец конь пещера дверь наказание сабля зло предмет
Lermontov,Guiraud,3,VERB,мочь быть знать иметь сказать рассказывать сделать любить желать пронзать
Lermontov,Guiraud,4,ADJ,должный большой рад старый сырой готовый длинный немой виноватый косматый
Lermontov,Guiraud,4,NOUN,боец терек тучка название кинжал рыбак табун камень отчаяние песок
Lermontov,Guiraud,4,VERB,иметь быть сказать мочь рассказывать делать посмотреть казнить любить знать
Lermontov,Guiraud,5,ADJ,должный сырой женский старый большой ложный умный серый рад удалой
Lermontov,Guiraud,5,NOUN,саша зло князь демон насмешка бал боец дама право крыльцо
Lermontov,Guiraud,5,VERB,мочь рассказывать быть знать иметь любить проникать желать сказать пронзать
Lermontov,Guiraud,6,ADJ,должный большой сырой лихой старый умный женский боярский дубовый малый
Lermontov,Guiraud,6,NOUN,песок князь старик окно боец досада русский конец отчаяние пол
Lermontov,Guiraud,6,VERB,мочь быть иметь желать спрашивать бить проникать оставлять привлекать знать
Lermontov,Guiraud,7,ADJ,должный большой сырой лукавый виноватый лихой женский подобный готовый удалой
Lermontov,Guiraud,7,NOUN,саша право дверь дама предмет песок зло боец насмешка табун
Lermontov,Guiraud,7,VERB,мочь сделать знать рассказывать быть пускаться оставлять судить становиться сказать
Lermontov,Guiraud,8,ADJ,должный ложный женский большой лихой умный подобный сырой старый странный
Lermontov,Guiraud,8,NOUN,саша князь курган дверь дама предмет бал отчаяние слово кинжал
Lermontov,Guiraud,8,VERB,сделать мочь знать оставлять рассказывать быть сказать спрашивать показывать желать
Lermontov,Guiraud,9,ADJ,должный сырой подобный благодарный виноватый лишенный бледный странный рад женский
Lermontov,Guiraud,9,NOUN,саша дама песок бал дверь демон слово кинжал тучка зло
Lermontov,Guiraud,9,VERB,иметь сделать быть сказать делать рассказывать мочь оставлять знать подходить
Lermontov,Guiraud,10,ADJ,сырой должный большой лихой удалой бледный чужой женский подобный белый
Lermontov,Guiraud,10,NOUN,саша зло конь демон песок глаз стена отец курган насмешка
Lermontov,Guiraud,10,VERB,иметь быть рассказывать мочь сделать знать сказать становиться делать оставлять
Lermontov,Guiraud,11,ADJ,должный удалой сырой лихой злой большой лукавый странный молодой благодарный
Lermontov,Guiraud,11,NOUN,окно старик песок дверь отчаяние пол сабля предмет отец стена
Lermontov,Guiraud,11,VERB,мочь быть желать знать бить любить казаться становиться захотеть пускаться
Lermontov,Guiraud,12,ADJ,должный сырой лишенный подобный старый женский большой ничтожный ложный готовый
Lermontov,Guiraud,12,NOUN,князь досада пещера право боец отчаяние старик кинжал камень путник
Lermontov,Guiraud,12,VERB,мочь иметь рассказывать быть пускаться бить сказать знать делать привлекать
Lermontov,Guiraud,13,ADJ,должный сырой ложный удалой косматый старый подобный молодой лихой немой
Lermontov,Guiraud,13,NOUN,саша князь песок путник русский дама досада камень старик конь
Lermontov,Guiraud,13,VERB,мочь подходить быть бить любить иметь знать захотеть трещать желать
Lermontov,Guiraud,14,ADJ,должный сырой лихой женский подобный большой лишенный небрежный немой лукавый
Lermontov,Guiraud,14,NOUN,саша дама камень пуля конь князь демон путник боец насмешка
Lermontov,Guiraud,14,VERB,мочь иметь быть делать знать подходить узнавать сказать кинуть становиться
Lermontov,Guiraud,15,ADJ,сырой должный лихой большой пасмурный старый подобный лукавый готовый ложный
Lermontov,Guiraud,15,NOUN,саша право бал боец причина предмет дама песок старик зло
Lermontov,Guiraud,15,VERB,мочь иметь оставлять желать быть рассказывать кричать пускаться удерживать знать
Lermontov,Guiraud,16,ADJ,большой должный лишенный пасмурный странный подобный старый сырой рад готовый
Lermontov,Guiraud,16,NOUN,князь путник старик русский конь предмет движение курган песок камень
Lermontov,Guiraud,16,VERB,рассказывать быть мочь сделать иметь сказать делать знать помогать оставлять
Lermontov,Guiraud,17,ADJ,должный сырой большой удалой лихой готовый чужой горный косматый лукавый
Lermontov,Guiraud,17,NOUN,князь бал камень право путник песок зло старик боец дама
Lermontov,Guiraud,17,VERB,мочь быть иметь желать подходить знать сказать делать пускаться рассказывать
Lermontov,Guiraud,18,ADJ,должный большой старый рад сырой странный виноватый лихой умный женский
Lermontov,Guiraud,18,NOUN,князь боец путник право всадник пещера отчаяние кавказ камень зло
Lermontov,Guiraud,18,VERB,мочь быть иметь делать сделать знать желать оставлять помогать потерять
Lermontov,Guiraud,19,ADJ,сырой должный бешеный большой старый лукавый удалой лихой ложный злой
Lermontov,Guiraud,19,NOUN,боец дверь предмет название демон песок окно блаженство зло конец
Lermontov,Guiraud,19,VERB,сделать мочь быть знать рассказывать спрашивать иметь желать кинуть показывать
Lermontov,Guiraud,20,ADJ,сырой должный большой пасмурный подобный косматый ложный лукавый умный женский
Lermontov,Guiraud,20,NOUN,дама зло боец саша дверь право бал демон досада князь
Lermontov,Guiraud,20,VERB,мочь рассказывать знать быть делать сделать сказать иметь показывать оставлять
Lermontov,Guiraud,21,ADJ,должный сырой большой женский чужой виноватый косматый лихой пасмурный недвижимый
Lermontov,Guiraud,21,NOUN,князь пещера пуля русский право конь камень кинжал боец всадник
Lermontov,Guiraud,21,VERB,мочь быть иметь блуждать сказать знать кинуть желать приучать любить
Lermontov,Guiraud,22,ADJ,должный сырой виноватый лишенный большой пасмурный рад странный косматый дальний
Lermontov,Guiraud,22,NOUN,князь конь всадник право русский песок пещера зло путник боец
Lermontov,Guiraud,22,VERB,мочь быть рассказывать знать сделать подходить оставлять сказать желать иметь
Lermontov,Guiraud,23,ADJ,большой должный женский сырой лихой умный чужой старый круглый подобный
Lermontov,Guiraud,23,NOUN,саша конь дама боец пуля табун дверь князь русский старик
Lermontov,Guiraud,23,VERB,мочь подходить сказать рассказывать оставлять проникать спрашивать любить желать пускаться
Lermontov,Guiraud,24,ADJ,сырой большой должный лихой недвижимый пасмурный бледный немой боярский лишенный
Lermontov,Guiraud,24,NOUN,саша право зло лампада песок табун князь предмет дама отчаяние
Lermontov,Guiraud,24,VERB,иметь быть рассказывать мочь делать подходить заставлять трещать казаться пускаться
Lermontov,Guiraud,25,ADJ,должный большой сырой лихой умный рад женский странный лишенный немой
Lermontov,Guiraud,25,NOUN,князь досада отчаяние дверь предмет зло право конь песок камень
Lermontov,Guiraud,25,VERB,рассказывать быть мочь иметь желать знать кричать сделать оставлять делать
Lermontov,Guiraud,26,ADJ,должный большой сырой готовый старый немой лихой небрежный серый чужой
Lermontov,Guiraud,26,NOUN,князь отчаяние саша боец дама пришелец пуля старик конь русский
Lermontov,Guiraud,26,VERB,быть рассказывать делать мочь знать иметь сделать сказать позволять показывать
Lermontov,Guiraud,27,ADJ,должный большой женский странный умный лихой ложный готовый старый серый
Lermontov,Guiraud,27,NOUN,князь зло саша конь русский боец досада отчаяние месть бал
Lermontov,Guiraud,27,VERB,мочь знать любить желать сделать сказать рассказывать быть слушать изображать
Lermontov,Guiraud,28,ADJ,должный сырой подобный удалой чужой старый готовый виноватый женский большой
Lermontov,Guiraud,28,NOUN,старик путник пещера лампада песок конь князь русский властелин камень
Lermontov,Guiraud,28,VERB,мочь желать быть изображать оставлять сказать привлекать выходить становиться любить
Lermontov,Guiraud,29,ADJ,должный большой сырой лишенный недвижимый виноватый лихой рад странный чужой
Lermontov,Guiraud,29,NOUN,князь саша право дама путник боец досада песок жена бал
Lermontov,Guiraud,29,VERB,сказать делать быть рассказывать сделать мочь знать иметь оставлять спрашивать
Lermontov,Guiraud,30,ADJ,должный сырой большой рад старый странный косматый ложный смуглый женский
Lermontov,Guiraud,30,NOUN,саша боец песок старик дверь конь лампада пол табун окно
Lermontov,Guiraud,30,VERB,мочь сделать знать быть сказать оставлять рассказывать трещать узнавать привлекать
Lermontov,Guiraud,31,ADJ,должный сырой большой ложный странный умный злой чужой готовый бледный
Lermontov,Guiraud,31,NOUN,боец старик дверь пол терек зло конец дама демон сабля
Lermontov,Guiraud,31,VERB,мочь быть сделать знать желать кричать оставлять становиться сказать иметь
Lermontov,Guiraud,32,ADJ,должный женский сырой большой старый серый пасмурный странный молодой виноватый
Lermontov,Guiraud,32,NOUN,саша князь боец дама курган всадник конь путник зло дверь
Lermontov,Guiraud,32,VERB,иметь мочь рассказывать оставлять кидать знать быть желать бить разделять
Lermontov,Guiraud,33,ADJ,должный сырой большой умный странный виноватый рад грешный немой старый
Lermontov,Guiraud,33,NOUN,саша табун боец деньги право бал отчаяние тучка шея зло
Lermontov,Guiraud,33,VERB,мочь иметь быть пускаться делать кричать казаться становиться оставлять погубить
Lermontov,Guiraud,34,ADJ,должный большой сырой рад лукавый лихой ложный старый пасмурный странный
Lermontov,Guiraud,34,NOUN,князь право саша дама путник дверь досада отчаяние отец русский
Lermontov,Guiraud,34,VERB,быть сделать иметь знать делать рассказывать мочь сказать любить клясться
Lermontov,Guiraud,35,ADJ,должный сырой лихой лукавый чужой большой ложный пасмурный подобный удалой
Lermontov,Guiraud,35,NOUN,князь конь русский пещера право старик досада песок кинжал тучка
Lermontov,Guiraud,35,VERB,быть мочь рассказывать сделать иметь сказать знать становиться оставлять смотреть
